epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.88188,2.35907,0.53846,0.93706,1.69892,0.000204918,0.000204918,0.000204918
2,15.4885,1.51958,0.82517,0.99301,0.68877,0.00040916,0.00040916,0.00040916
3,22.2955,0.8661,0.90909,0.99301,0.32384,0.000609277,0.000609277,0.000609277
4,29.3285,0.64713,0.95804,1,0.21515,0.000606437,0.000606437,0.000606437
5,36.6697,0.51038,0.90909,1,0.2124,0.00060025,0.00060025,0.00060025
6,43.5396,0.37556,0.93007,1,0.20274,0.000594062,0.000594062,0.000594062
7,50.3855,0.41683,0.91608,0.99301,0.333,0.000587875,0.000587875,0.000587875
8,57.2903,0.35628,0.93706,0.99301,0.22632,0.000581687,0.000581687,0.000581687
9,64.3163,0.29642,0.93706,1,0.18865,0.0005755,0.0005755,0.0005755
10,71.0904,0.29101,0.95105,0.99301,0.17498,0.000569313,0.000569313,0.000569313
11,78.0473,0.25882,0.93007,0.99301,0.22298,0.000563125,0.000563125,0.000563125
12,84.8779,0.23999,0.96503,0.99301,0.16626,0.000556938,0.000556938,0.000556938
13,91.7162,0.26388,0.95804,0.99301,0.17452,0.00055075,0.00055075,0.00055075
14,98.709,0.24073,0.93706,0.99301,0.20142,0.000544563,0.000544563,0.000544563
15,106.167,0.17974,0.95105,0.99301,0.18178,0.000538375,0.000538375,0.000538375
16,113.089,0.15126,0.96503,0.99301,0.15832,0.000532187,0.000532187,0.000532187
17,119.913,0.18262,0.95804,0.99301,0.19567,0.000526,0.000526,0.000526
18,126.509,0.177,0.95804,0.98601,0.23531,0.000519812,0.000519812,0.000519812
19,133.435,0.17963,0.95105,0.99301,0.21721,0.000513625,0.000513625,0.000513625
20,139.995,0.16993,0.95105,0.99301,0.24575,0.000507438,0.000507438,0.000507438
21,146.901,0.22232,0.93706,0.99301,0.26549,0.00050125,0.00050125,0.00050125
22,153.62,0.16856,0.96503,0.99301,0.16144,0.000495063,0.000495063,0.000495063
23,160.706,0.18625,0.95105,0.99301,0.15329,0.000488875,0.000488875,0.000488875
24,167.648,0.22695,0.95105,0.99301,0.18458,0.000482687,0.000482687,0.000482687
25,174.423,0.14177,0.95105,1,0.16052,0.0004765,0.0004765,0.0004765
26,181.257,0.15881,0.95105,1,0.17562,0.000470312,0.000470312,0.000470312
27,188.143,0.17412,0.95804,1,0.14747,0.000464125,0.000464125,0.000464125
28,194.889,0.1875,0.93706,1,0.17186,0.000457938,0.000457938,0.000457938
29,201.763,0.14023,0.97203,1,0.1181,0.00045175,0.00045175,0.00045175
30,208.483,0.14544,0.97902,1,0.12134,0.000445562,0.000445562,0.000445562
31,215.57,0.11132,0.97203,1,0.12382,0.000439375,0.000439375,0.000439375
32,225.11,0.08829,0.96503,1,0.13296,0.000433187,0.000433187,0.000433187
33,234.596,0.15668,0.95804,1,0.18525,0.000427,0.000427,0.000427
34,243.469,0.09113,0.94406,1,0.19028,0.000420812,0.000420812,0.000420812
35,252.325,0.09862,0.95105,1,0.20421,0.000414625,0.000414625,0.000414625
36,260.823,0.13639,0.95804,1,0.16229,0.000408438,0.000408438,0.000408438
37,269.459,0.09979,0.94406,0.99301,0.19608,0.00040225,0.00040225,0.00040225
38,278.106,0.09344,0.95804,0.99301,0.2112,0.000396063,0.000396063,0.000396063
39,287.422,0.09866,0.95105,0.99301,0.17079,0.000389875,0.000389875,0.000389875
40,296.602,0.09876,0.96503,0.99301,0.12422,0.000383688,0.000383688,0.000383688
41,305.008,0.06767,0.97203,1,0.12361,0.0003775,0.0003775,0.0003775
42,313.052,0.13007,0.97203,1,0.14205,0.000371313,0.000371313,0.000371313
43,321.188,0.10412,0.95804,0.99301,0.19172,0.000365125,0.000365125,0.000365125
44,329.543,0.08346,0.97902,1,0.16011,0.000358938,0.000358938,0.000358938
45,338.022,0.0987,0.95804,1,0.15451,0.00035275,0.00035275,0.00035275
46,346.229,0.08841,0.96503,0.99301,0.1966,0.000346563,0.000346563,0.000346563
47,354.573,0.1139,0.94406,0.99301,0.22033,0.000340375,0.000340375,0.000340375
48,362.81,0.11997,0.95105,0.99301,0.21543,0.000334188,0.000334188,0.000334188
49,371.174,0.07991,0.94406,1,0.22274,0.000328,0.000328,0.000328
50,379.372,0.05978,0.95804,1,0.16727,0.000321812,0.000321812,0.000321812
51,387.523,0.0837,0.97902,1,0.11973,0.000315625,0.000315625,0.000315625
52,396.156,0.06103,0.97902,0.99301,0.10595,0.000309437,0.000309437,0.000309437
53,405.179,0.10241,0.97203,0.99301,0.10087,0.00030325,0.00030325,0.00030325
54,413.844,0.06771,0.96503,1,0.15978,0.000297063,0.000297063,0.000297063
55,422.202,0.08521,0.94406,0.99301,0.25737,0.000290875,0.000290875,0.000290875
56,430.703,0.05496,0.95105,1,0.26965,0.000284688,0.000284688,0.000284688
